10/11/13;"0:41:55";"0:31:12";"0:24:33";"0:1:55";"0:0:0"
10/11/13;"0:0:50";"0:4:7";"0:14:55";"0:0:0";"0:0:0"
11/11/13;"1:56:59";"0:31:39";"0:23:53";"0:7:4";"0:0:0"
12/11/13;"0:2:48";"0:9:30";"0:14:10";"0:4:14";"0:0:0"
16/11/13;"0:18:17";"0:19:31";"0:42:36";"0:56:43";"0:0:4"
17/11/13;"0:24:35";"0:24:50";"1:21:38";"0:10:34";"0:0:0"
18/11/13;"0:20:32";"0:24:34";"0:17:55";"0:0:50";"0:0:6"
19/11/13;"0:1:4";"0:16:40";"0:12:46";"0:29:41";"0:0:0"
19/11/13;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
22/11/13;"0:13:3";"0:29:53";"0:13:6";"0:1:36";"0:0:0"
23/11/13;"1:24:5";"0:45:22";"0:38:47";"0:3:57";"0:0:0"
24/11/13;"0:57:39";"0:33:8";"0:12:12";"0:2:53";"0:0:0"
27/11/13;"0:7:25";"0:15:56";"0:12:22";"0:30:13";"0:0:0"
30/11/13;"0:22:11";"0:24:3";"0:56:37";"0:58:11";"0:0:0"
01/12/13;"0:28:36";"0:29:52";"1:8:14";"0:32:44";"0:1:3"
04/12/13;"0:0:0";"0:8:13";"0:19:15";"0:37:4";"0:1:39"
07/12/13;"2:21:5";"1:15:30";"1:15:2";"0:11:11";"0:0:0"
08/12/13;"2:0:27";"1:34:26";"1:10:11";"0:3:46";"0:0:0"
11/12/13;"0:4:0";"0:7:29";"0:25:23";"0:23:2";"0:0:0"
14/12/13;"0:13:20";"0:18:43";"0:44:29";"0:40:16";"0:0:7"
15/12/13;"12:40:0";"0:49:41";"2:7:49";"0:50:14";"0:0:19"
21/12/13;"0:6:8";"0:18:8";"0:10:15";"0:11:19";"0:0:0"
22/12/13;"0:2:45";"0:14:24";"0:32:49";"0:1:3";"0:0:0"
26/12/13;"0:6:4";"0:10:22";"0:14:34";"0:3:21";"0:0:0"
30/12/13;"0:7:27";"0:24:1";"0:28:17";"0:1:3";"0:0:0"
03/01/14;"0:0:43";"0:8:50";"0:48:26";"0:8:21";"0:0:0"
06/01/14;"0:3:22";"0:33:10";"0:26:6";"0:3:3";"0:0:0"
08/01/14;"0:34:18";"0:44:9";"2:10:36";"1:12:21";"0:0:5"
09/01/14;"0:15:14";"0:24:17";"0:21:47";"0:0:0";"0:0:0"
13/01/14;"0:1:43";"0:19:38";"0:10:12";"0:5:16";"0:0:0"
19/01/14;"3:47:25";"1:1:30";"0:13:0";"0:0:0";"0:0:0"
20/01/14;"0:6:35";"0:17:54";"0:37:51";"0:0:38";"0:0:0"
21/01/14;"0:14:54";"0:14:46";"0:47:14";"0:20:31";"0:3:41"
23/01/14;"0:27:4";"0:23:38";"0:6:59";"0:0:0";"0:0:0"
26/01/14;"0:1:13";"0:8:45";"1:10:4";"0:42:57";"0:0:0"
26/01/14;"0:15:10";"0:10:49";"0:42:28";"0:15:40";"0:0:0"
27/01/14;"0:22:27";"0:33:12";"0:10:12";"0:0:43";"0:0:0"
30/01/14;"0:29:21";"0:16:10";"0:8:34";"0:8:47";"0:1:41"
04/02/14;"0:19:23";"0:32:41";"0:15:1";"0:0:5";"0:0:0"
06/02/14;"0:5:21";"0:11:3";"0:25:35";"0:10:23";"0:0:3"
11/02/14;"0:0:12";"0:2:29";"0:8:35";"0:32:16";"0:7:6"
17/02/14;"0:3:11";"0:20:22";"0:28:36";"0:3:45";"0:0:25"
19/02/14;"0:34:58";"0:25:16";"0:1:54";"0:0:0";"0:0:0"
22/02/14;"0:18:52";"0:10:23";"0:34:15";"0:9:14";"0:0:0"
23/02/14;"0:13:1";"0:54:6";"3:5:59";"0:12:15";"0:0:0"
03/03/14;"0:13:42";"0:22:4";"0:22:12";"0:0:3";"0:0:0"
07/03/14;"0:7:25";"0:35:52";"0:15:2";"0:0:50";"0:0:0"
09/03/14;"0:22:3";"0:4:33";"0:0:0";"0:0:0";"0:0:0"
10/03/14;"0:3:6";"0:11:23";"0:18:19";"0:8:26";"0:0:27"
19/03/14;"0:8:9";"0:31:12";"0:13:45";"0:3:32";"0:0:0"
20/03/14;"0:3:23";"0:15:39";"0:16:1";"0:0:14";"0:0:0"
21/03/14;"0:3:42";"0:16:10";"0:30:31";"0:0:25";"0:0:8"
22/03/14;"0:18:59";"0:24:57";"1:14:53";"0:42:1";"0:0:0"
